Requirement_ID,Article,Title,Parent,Requirement Text,References,Page
chapter_02_article 5_req1.,Article 5,Placing on the market and putting into service,," A device may be placed on the market or put into service only if it complies with this Regulation when duly supplied and properly installed, maintained and used in accordance with its intended purpose.",,1
chapter_02_article 5_req2.,Article 5,Placing on the market and putting into service,," A device shall meet the general safety and performance requirements set out in Annex I which apply to it, taking into account its intended purpose.",Annex I,1
chapter_02_article 5_req3.,Article 5,Placing on the market and putting into service,, Demonstration of conformity with the general safety and performance requirements shall include a clinical evaluation in accordance with Article 61.,Article 61,1
chapter_02_article 5_req4.,Article 5,Placing on the market and putting into service,, Devices that are manufactured and used within health institutions shall be considered as having been put into service.,,1
chapter_02_article 5_req5.(a),Article 5,Placing on the market and putting into service,5.,"the devices are not transferred to another legal entity,",,1
chapter_02_article 5_req5.(b),Article 5,Placing on the market and putting into service,5.,"manufacture and use of the devices occur under appropriate quality management systems,",,1
chapter_02_article 5_req5.(c),Article 5,Placing on the market and putting into service,5.,"the health institution justifies in its documentation that the target patient group's specific needs cannot be met, or",,1
chapter_02_article 5_req5.(d),Article 5,Placing on the market and putting into service,5.,"the health institution provides information upon request on the use of such devices to its competent authority,",,1
chapter_02_article 5_req5.(e),Article 5,Placing on the market and putting into service,5.,"the health institution draws up a declaration which it shall make publicly available, including:",,1
chapter_02_article 5_req5.(i),Article 5,Placing on the market and putting into service,5.,the name and address of the manufacturing health institution;,,1
chapter_02_article 5_req5.(ii),Article 5,Placing on the market and putting into service,5.,the details necessary to identify the devices;,,1
chapter_02_article 5_req5.(iii),Article 5,Placing on the market and putting into service,5.,a declaration that the devices meet the general safety and performance requirements set out in Annex I to this,Annex I,1
chapter_02_article 5_req5.(f),Article 5,Placing on the market and putting into service,5.,the health institution draws up documentation that makes it possible to have an understanding of the manufacturing,,1
chapter_02_article 5_req5.(g),Article 5,Placing on the market and putting into service,5.,the health institution takes all necessary measures to ensure that all devices are manufactured in accordance with the,,1
chapter_02_article 5_req5.(h),Article 5,Placing on the market and putting into service,5.,the health institution reviews experience gained from clinical use of the devices and takes all necessary corrective,,1
chapter_02_article 5_req5.,Article 5,Placing on the market and putting into service,," With the exception of the relevant general safety and performance requirements set out in Annex I, the requirements of this Regulation shall not apply to devices, manufactured and used only within health institutions established in the Union, provided that all of the following conditions are met: cannot be met at the appropriate level of performance by an equivalent device available on the market, which shall include a justification of their manufacturing, modification and use; Regulation and, where applicable, information on which requirements are not fully met with a reasoned justifi­ cation therefor, facility, the manufacturing process, the design and performance data of the devices, including the intended purpose, and that is sufficiently detailed to enable the competent authority to ascertain that the general safety and performance requirements set out in Annex I to this Regulation are met; documentation referred to in point (f), and actions. Member States may require that such health institutions submit to the competent authority any further relevant information about such devices which have been manufactured and used on their territory. Member States shall retain the right to restrict the manufacture and the use of any specific type of such devices and shall be permitted access to inspect the activities of the health institutions. This paragraph shall not apply to devices that are manufactured on an industrial scale.",Annex I; Annex I,1
chapter_02_article 5_req6.,Article 5,Placing on the market and putting into service,," In order to ensure the uniform application of Annex I, the Commission may adopt implementing acts to the extent necessary to resolve issues of divergent interpretation and of practical application. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 114(3).",Annex I; Article 114,1
chapter_02_article 6_req1.,Article 6,Distance sales,," A device offered by means of information society services, as defined in point (b) of Article 1(1) of Directive (EU) 2015/1535, to a natural or legal person established in the Union shall comply with this Regulation.",Article 1,2
