id,type,title,text,parent,references,page
mdr,doc,MDR REGULATION (EU) 2017/745 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL,,,,0
mdr+chapter_II,chapter,"MAKING AVAILABLE ON THE MARKET AND PUTTING INTO SERVICE OF DEVICES, OBLIGATIONS OF ECONOMIC OPERATORS, REPROCESSING, CE MARKING, FREE MOVEMENT ","MAKING AVAILABLE ON THE MARKET AND PUTTING INTO SERVICE OF DEVICES, OBLIGATIONS OF 
ECONOMIC OPERATORS, REPROCESSING, CE MARKING, FREE MOVEMENT ",mdr,,1
mdr+chapter_II+article_5,article,Placing on the market and putting into service ,Placing on the market and putting into service ,mdr+chapter_II,,1
mdr+chapter_II+article_5+req_1,req,,"
A device may be placed on the market or put into service only if it complies with this Regulation when duly 
supplied and properly installed, maintained and used in accordance with its intended purpose. ",mdr+chapter_II+article_5,,1
mdr+chapter_II+article_5+req_2,req,,"
A device shall meet the general safety and performance requirements set out in Annex I which apply to it, taking 
into account its intended purpose. ",mdr+chapter_II+article_5,Annex I,1
mdr+chapter_II+article_5+req_3,req,,"
Demonstration of conformity with the general safety and performance requirements shall include a clinical 
evaluation in accordance with Article 61. ",mdr+chapter_II+article_5,Article 61,1
mdr+chapter_II+article_5+req_4,req,,"
Devices that are manufactured and used within health institutions shall be considered as having been put into 
service. ",mdr+chapter_II+article_5,,1
mdr+chapter_II+article_5+req_5,req,,"
With the exception of the relevant general safety and performance requirements set out in Annex I, the 
requirements of this Regulation shall not apply to devices, manufactured and used only within health institutions 
established in the Union, provided that all of the following conditions are met: ",mdr+chapter_II+article_5,Annex I,1
mdr+chapter_II+article_5+req_5+sreq_a,sreq,,"the devices are not transferred to another legal entity, ",mdr+chapter_II+article_5+req_5,,1
mdr+chapter_II+article_5+req_5+sreq_b,sreq,,"manufacture and use of the devices occur under appropriate quality management systems, ",mdr+chapter_II+article_5+req_5,,1
mdr+chapter_II+article_5+req_5+sreq_c,sreq,,"the health institution justifies in its documentation that the target patient group's specific needs cannot be met, or 
cannot be met at the appropriate level of performance by an equivalent device available on the market, ",mdr+chapter_II+article_5+req_5,,1
mdr+chapter_II+article_5+req_5+sreq_d,sreq,,"the health institution provides information upon request on the use of such devices to its competent authority, 
which shall include a justification of their manufacturing, modification and use; ",mdr+chapter_II+article_5+req_5,,1
mdr+chapter_II+article_5+req_5+sreq_e,sreq,,"the health institution draws up a declaration which it shall make publicly available, including: ",mdr+chapter_II+article_5+req_5,,1
mdr+chapter_II+article_5+req_5+sreq_e+ssreq_i,ssreq,,the name and address of the manufacturing health institution; ,mdr+chapter_II+article_5+req_5+sreq_e,,1
mdr+chapter_II+article_5+req_5+sreq_e+ssreq_ii,ssreq,,the details necessary to identify the devices; ,mdr+chapter_II+article_5+req_5+sreq_e,,1
mdr+chapter_II+article_5+req_5+sreq_e+ssreq_iii,ssreq,,"a declaration that the devices meet the general safety and performance requirements set out in Annex I to this 
Regulation and, where applicable, information on which requirements are not fully met with a reasoned justifi­
cation therefor, ",mdr+chapter_II+article_5+req_5+sreq_e,Annex I,1
mdr+chapter_II+article_5+req_5+sreq_f,sreq,,"the health institution draws up documentation that makes it possible to have an understanding of the manufacturing 
facility, the manufacturing process, the design and performance data of the devices, including the intended purpose, 
and that is sufficiently detailed to enable the competent authority to ascertain that the general safety and 
performance requirements set out in Annex I to this Regulation are met; ",mdr+chapter_II+article_5+req_5,Annex I,1
mdr+chapter_II+article_5+req_5+sreq_g,sreq,,"the health institution takes all necessary measures to ensure that all devices are manufactured in accordance with the 
documentation referred to in point (f), and ",mdr+chapter_II+article_5+req_5,,1
mdr+chapter_II+article_5+req_5+sreq_h,sreq,,"the health institution reviews experience gained from clinical use of the devices and takes all necessary corrective 
actions. 
Member States may require that such health institutions submit to the competent authority any further relevant 
information about such devices which have been manufactured and used on their territory. Member States shall retain 
the right to restrict the manufacture and the use of any specific type of such devices and shall be permitted access to 
inspect the activities of the health institutions. 
This paragraph shall not apply to devices that are manufactured on an industrial scale. ",mdr+chapter_II+article_5+req_5,,1
mdr+chapter_II+article_5+req_6,req,,"
In order to ensure the uniform application of Annex I, the Commission may adopt implementing acts to the 
extent necessary to resolve issues of divergent interpretation and of practical application. Those implementing acts shall 
be adopted in accordance with the examination procedure referred to in Article 114(3). 
",mdr+chapter_II+article_5,Annex I; Article 114,1
mdr+chapter_II+article_6,article,Distance sales ,Distance sales ,mdr+chapter_II,,2
mdr+chapter_II+article_6+req_1,req,,"
A device offered by means of information society services, as defined in point (b) of Article 1(1) of 
Directive (EU) 2015/1535, to a natural or legal person established in the Union shall comply with this Regulation. ",mdr+chapter_II+article_6,Article 1,2
mdr+chapter_II+article_6+req_2,req,,"
Without prejudice to national law regarding the exercise of the medical profession, a device that is not placed on 
the market but used in the context of a commercial activity, whether in return for payment or free of charge, for the 
provision of a diagnostic or therapeutic service offered by means of information society services as defined in point (b) 
of Article 1(1) of Directive (EU) 2015/1535 or by other means of communication, directly or through intermediaries, to 
a natural or legal person established in the Union shall comply with this Regulation. ",mdr+chapter_II+article_6,Article 1,2
mdr+chapter_II+article_6+req_3,req,,"
Upon request by a competent authority, any natural or legal person offering a device in accordance with 
paragraph 1 or providing a service in accordance with paragraph 2 shall make available a copy of the EU declaration of 
conformity of the device concerned. ",mdr+chapter_II+article_6,,2
mdr+chapter_II+article_6+req_4,req,,"
A Member State may, on grounds of protection of public health, require a provider of information society services, 
as defined in point (b) of Article 1(1) of Directive (EU) 2015/1535, to cease its activity. ",mdr+chapter_II+article_6,Article 1,2
mdr+chapter_II+article_7,article,Claims ,Claims ,mdr+chapter_II,,2
